,icao24,callsign,origin_country,long,lat,baro_altitude,on_ground,velocity,true_track,vertical_rate,geo_altitude,time,callsign_carrier,carrier_company,carrier_type,manufacturericao,model,icaoaircrafttype,model_no_stripped,avg_no_seats,coord,city_name,reg_admin1,reg_admin2,country_cc
0,e49406,GLO1620,Brazil,-45.5163,-22.2933,9982.2,False,243.5,43.03,0.0,10622.28,1656443398.0,GLO,Gol Linhas Aéreas,B,,,,,198.00000000000003,"(-22.2933, -45.5163)",Itajuba,Minas Gerais,Itajuba,BR
1,4b1815,SWR983,Switzerland,8.6724,47.6378,3802.38,False,194.8,212.6,0.0,4244.34,1656443398.0,SWR,Swiss,P,AIRBUS,A320-271N,L2J,A320,164.0,"(47.6378, 8.6724)",Marthalen,Zurich,Bezirk Andelfingen,CH
2,4b1816,SWR341Z,Switzerland,23.3885,39.5464,11590.02,False,222.89,324.11,0.0,12146.28,1656443398.0,SWR,Swiss,P,,,,,180.0,"(39.5464, 23.3885)",Zagora,Thessaly,Nomos Magnisias,GR
3,ab1644,UAL2141,United States,-104.6424,39.7749,1859.28,False,79.74,0.37,-4.55,1965.96,1656443398.0,UAL,United Airlines,U,AIRBUS INDUSTRIE,A319-131,L2J,A319,179.0,"(39.7749, -104.6424)",Aurora,Colorado,Adams County,US
4,aa56db,UAL1455,United States,-96.3889,41.7835,11582.4,False,217.12,255.17,0.0,12016.74,1656443398.0,UAL,United Airlines,U,BOEING,737-824,L2J,737-8,149.0,"(41.7835, -96.3889)",Oakland,Nebraska,Burt County,US
5,a2e5ec,SKW3655,United States,-121.6488,47.1356,5326.38,False,189.05,320.85,-0.65,5501.64,1656443398.0,SKW,SkyWest Airlines,P,EMBRAER S A,ERJ 170-200 LL,,ERJ-170,88.0,"(47.1356, -121.6488)",Riverbend,Washington,King County,US
6,4b1813,SWR69KC,Switzerland,8.7711,47.298,411.48,False,148.7,72.07,-3.58,2293.62,1656443398.0,SWR,Swiss,P,AIRBUS,A320-271N,L2J,A320,164.0,"(47.298, 8.7711)",Gossau,Zurich,Bezirk Hinwil,CH
7,abd9d9,SWA1726,United States,-111.5773,33.7898,4099.56,False,167.3,238.07,-7.15,4366.26,1656443398.0,SWA,Southwest Airlines,B,BOEING,737-8H4,L2J,737-8,154.0,"(33.7898, -111.5773)",Rio Verde,Arizona,Maricopa County,US
8,a3b87f,DAL2496,United States,-81.4596,38.6974,10363.2,False,215.96,203.14,0.0,10812.78,1656443398.0,DAL,Delta Air Lines,P,AIRBUS INDUSTRIE,A320-212,L2J,A320,182.0,"(38.6974, -81.4596)",Spencer,West Virginia,Roane County,US
9,a305fd,SKW3601,United States,-93.1083,44.5423,2651.76,False,135.28,63.82,-6.5,2758.44,1656443398.0,SKW,SkyWest Airlines,P,EMBRAER S A,ERJ 170-200 LR,,ERJ-170,88.0,"(44.5423, -93.1083)",Northfield,Minnesota,Rice County,US
10,4b1803,EDW267J,Switzerland,1.8659,38.8678,3421.38,False,186.43,71.67,5.53,3672.84,1656443398.0,EDW,Edelweiss Air,C,,BD-500-1A11 (CS300),,A220-3,144.0,"(38.8678, 1.8659)",Santa Eularia des Riu,Balearic Islands,Illes Balears,ES
11,4b1805,SWR646,Switzerland,8.5593,47.4525,,True,0.51,272.81,,,1656443398.0,SWR,Swiss,P,,BD-500-1A11 (CS300),,A220-3,144.0,"(47.4525, 8.5593)",Glattbrugg / Rohr/Platten-Balsberg,Zurich,Bezirk Buelach,CH
12,4b1806,SWR239F,Switzerland,0.7813,43.3809,12192.0,False,233.67,53.69,0.0,12694.92,1656443398.0,SWR,Swiss,P,BOMBARDIER,BD-500-1A11 (CS300),L2J,A220-3,144.0,"(43.3809, 0.7813)",Boulogne-sur-Gesse,Midi-Pyrenees,Departement de la Haute-Garonne,FR
13,aa56d4,UAL1079,United States,-74.1678,40.6981,,True,2.06,199.69,,,1656443398.0,UAL,United Airlines,U,BOEING,737-824,L2J,737-8,149.0,"(40.6981, -74.1678)",Newark,New Jersey,Essex County,US
14,a90ea8,DAL1415,United States,-82.6139,28.8549,7040.88,False,230.8,352.7,5.85,7421.88,1656443398.0,DAL,Delta Air Lines,P,BOEING,757-232,L2J,757-2,178.0,"(28.8549, -82.6139)",Crystal River,Florida,Citrus County,US
15,4b1808,SWR37G,Switzerland,1.1141,49.6899,10843.26,False,235.82,140.75,1.3,11209.02,1656443398.0,SWR,Swiss,P,,BD-500-1A11 (CS300),,A220-3,144.0,"(49.6899, 1.1141)",Totes,Haute-Normandie,Departement de la Seine-Maritime,FR
16,aa56d5,UAL1820,United States,-77.4614,38.8323,640.08,False,240.68,3.43,0.0,1242.06,1656443398.0,UAL,United Airlines,U,BOEING,737-824,L2J,737-8,149.0,"(38.8323, -77.4614)",Centreville,Virginia,Fairfax County,US
17,4b1801,SWR121G,Switzerland,8.5604,47.4563,,True,4.12,95.62,,,1656443398.0,SWR,Swiss,P,,BD-500-1A11 (CS300),,A220-3,144.0,"(47.4563, 8.5604)",Kloten / Holberg,Zurich,Bezirk Buelach,CH
18,a678ef,NKS277,United States,-67.1129,19.45,10363.2,False,232.13,309.33,0.0,10988.04,1656443398.0,NKS,Spirit Airlines,B,AIRBUS,A319-132,L2J,A319,196.9,"(19.45, -67.1129)",Isabela,Isabela,,PR
19,51111d,TOM9FE,Estonia,-6.055,53.4093,830.58,False,109.17,342.16,0.0,838.2,1656443398.0,TOM,TUI Airways,C,AIRBUS,Airbus A320-232,L2J,A320,164.0,"(53.4093, -6.055)",Howth,Leinster,Fingal County,IE
20,ac4963,DAL2569,United States,-117.124,34.796,8839.2,False,222.01,56.05,7.8,9273.54,1656443398.0,DAL,Delta Air Lines,P,BOEING,737-900ER,L2J,737-9,222.0,"(34.796, -117.124)",Lenwood,California,San Bernardino County,US
21,a3b88e,AAL1457,United States,-79.0587,26.9607,9898.38,False,229.12,15.1,7.15,10485.12,1656443398.0,AAL,American Airlines,P,BOEING,737-800,L2J,737-8,189.0,"(26.9607, -79.0587)",West End,West Grand Bahama,,BS
22,aae316,AAL1539,United States,-89.0647,41.7629,7117.08,False,203.24,259.94,8.78,7353.3,1656443398.0,AAL,American Airlines,P,BOEING,737-823,L2J,737-8,162.0,"(41.7629, -89.0647)",Rochelle,Illinois,Ogle County,US
23,7c6b39,JST673,Australia,151.3682,-26.2972,10706.1,False,254.7,110.08,-13.0,11247.12,1656443398.0,JST,Jetstar Airways,B,AIRBUS,A320-232,L2J,A320,180.4,"(-26.2972, 151.3682)",Wondai,Queensland,South Burnett,AU
24,4952cb,,Portugal,-6.1034,43.1514,11887.2,False,214.48,211.36,0.0,12367.26,1656443398.0,,FlyMontserrat,P,,,,,180.0,"(43.1514, -6.1034)",La Plaza,Asturias,Province of Asturias,ES
25,4952cb,,Portugal,-6.1034,43.1514,11887.2,False,214.48,211.36,0.0,12367.26,1656443398.0,,Lulutai Airlines,P,,,,,180.0,"(43.1514, -6.1034)",La Plaza,Asturias,Province of Asturias,ES
26,a36898,DAL793,United States,-102.5706,38.67,10675.62,False,240.16,111.62,0.0,11224.26,1656443398.0,DAL,Delta Air Lines,P,AIRBUS,A321-211,L2J,A321-2,199.0,"(38.67, -102.5706)",Cheyenne Wells,Colorado,Cheyenne County,US
27,acdfa3,ASA561,United States,-98.6456,30.8516,6774.18,False,208.26,115.3,-9.75,7200.9,1656443398.0,ASA,Alaska Airlines,P,BOEING,737-9,,737-9,48.0,"(30.8516, -98.6456)",Llano,Texas,Llano County,US
28,ace6b3,ASH5864,United States,-102.2852,31.981,10660.38,False,251.07,90.82,0.33,11292.84,1656443398.0,ASH,Mesa Airlines,P,BOMBARDIER INC,CL-600-2D24,L2J,CRJ900,95.0,"(31.981, -102.2852)",Gardendale,Texas,Ector County,US
29,7c6b19,JST251,Australia,174.8025,-41.3923,365.76,False,68.49,2.58,-4.55,403.86,1656443398.0,JST,Jetstar Airways,B,AIRBUS,A320 232SL,L2J,A320,180.4,"(-41.3923, 174.8025)",Brooklyn,Wellington,Wellington City,NZ
30,7c6b0f,JST253,Australia,174.8516,-37.075,1432.56,False,141.68,201.07,13.0,1432.56,1656443398.0,JST,Jetstar Airways,B,AIRBUS,A320 232SL,L2J,A320,180.4,"(-37.075, 174.8516)",Takanini,Auckland,Auckland,NZ
31,a46e40,DAL738,United States,-105.859,40.3471,10363.2,False,230.97,260.64,0.0,10911.84,1656443398.0,DAL,Delta Air Lines,P,AIRBUS,A321-211,,,199.0,"(40.3471, -105.859)",Granby,Colorado,Grand County,US
32,a57b4d,UAL547T,United States,-118.723,34.2652,1653.54,False,133.43,124.79,-7.8,1775.46,1656443398.0,UAL,United Airlines,U,AIRBUS INDUSTRIE,A320-232,L2J,A320,200.0,"(34.2652, -118.723)",Santa Susana,California,Ventura County,US
33,511158,TOM3BG,Estonia,23.1365,40.3034,11269.98,False,251.06,142.66,-0.33,11788.14,1656443398.0,TOM,TUI Airways,C,,,,,180.0,"(40.3034, 23.1365)",Nea Triglia,Central Macedonia,Nomos Chalkidikis,GR
34,4952c1,TAP566,Portugal,-0.5059,47.5641,11574.78,False,251.73,38.11,0.0,11948.16,1656443398.0,TAP,TAP Air Portugal,P,AIRBUS,A320 251N,L2J,A320,164.0,"(47.5641, -0.5059)",Briollay,Pays de la Loire,Departement de Maine-et-Loire,FR
35,4952c2,TAP1025,Portugal,-4.5596,39.9122,,True,194.9,255.63,0.0,,1656443398.0,TAP,TAP Air Portugal,P,AIRBUS,A320 251N,L2J,A320,164.0,"(39.9122, -4.5596)",Malpica,Castille-La Mancha,Province of Toledo,ES
36,4952c4,TAP1315,Portugal,-6.4014,43.205,11879.58,False,212.45,203.4,-0.33,12344.4,1656443398.0,TAP,TAP Air Portugal,P,,,,,180.0,"(43.205, -6.4014)",Tineo,Asturias,Province of Asturias,ES
37,4952c6,TAP783N,Portugal,3.5767,49.9155,11277.6,False,219.42,215.55,0.0,11658.6,1656443398.0,TAP,TAP Air Portugal,P,AIRBUS,A320-251N,L2J,A320,164.0,"(49.9155, 3.5767)",Guise,Picardie,Departement de l'Aisne,FR
38,acdfab,DAL1723,United States,-84.6637,33.6199,845.82,False,111.78,87.1,0.0,914.4,1656443398.0,DAL,Delta Air Lines,P,BOEING,717-200,L2J,717,100.0,"(33.6199, -84.6637)",Fairburn,Georgia,Fulton County,US
39,a0e250,AAL413,United States,-88.3121,35.4263,10668.0,False,258.6,73.12,0.33,11224.26,1656443398.0,AAL,American Airlines,P,AIRBUS,A321-211,L2J,A321-2,199.0,"(35.4263, -88.3121)",Crump,Tennessee,Hardin County,US
40,4952c7,TAP1357,Portugal,-1.8031,50.5092,9456.42,False,199.93,212.71,2.28,9723.12,1656443398.0,TAP,TAP Air Portugal,P,AIRBUS,320-251N,L2J,A320,164.0,"(50.5092, -1.8031)",Swanage,England,Dorset,GB
41,4952c8,TAP448,Portugal,0.4788,46.7057,9387.84,False,233.53,27.13,0.0,9860.28,1656443398.0,TAP,TAP Air Portugal,P,AIRBUS,,L2J,Anan,180.0,"(46.7057, 0.4788)",Dissay,Poitou-Charentes,Departement de la Vienne,FR
42,ad694c,SWA2074,United States,-82.0959,30.7353,11582.4,False,231.02,178.98,0.0,12268.2,1656443398.0,SWA,Southwest Airlines,B,BOEING,737-7H4,L2J,737-7,154.0,"(30.7353, -82.0959)",Folkston,Georgia,Charlton County,US
