,icao24,callsign,origin_country,long,lat,baro_altitude,on_ground,velocity,true_track,vertical_rate,geo_altitude,time,callsign_carrier,carrier_company,carrier_type,manufacturericao,model,icaoaircrafttype,model_no_stripped,avg_no_seats,coord,city_name,reg_admin1,reg_admin2,country_cc
0,e49406,GLO1620,Brazil,-45.5163,-22.2933,9982.2,False,243.5,43.03,0.0,10622.28,1656443523.0,GLO,Gol Linhas Aéreas,B,,,,,198.00000000000003,"(-22.2933, -45.5163)",Itajuba,Minas Gerais,Itajuba,BR
1,4b1815,SWR983,Switzerland,8.8986,47.4861,3086.1,False,147.27,128.19,-6.83,3261.36,1656443523.0,SWR,Swiss,P,AIRBUS,A320-271N,L2J,A320,164.0,"(47.4861, 8.8986)",Aadorf,Thurgau,Muenchwilen District,CH
2,4b1816,SWR341Z,Switzerland,23.2418,39.703,11582.4,False,225.52,324.75,0.0,12146.28,1656443523.0,SWR,Swiss,P,,,,,180.0,"(39.703, 23.2418)",Zagora,Thessaly,Nomos Magnisias,GR
3,ab1644,UAL2141,United States,-104.6437,39.7058,2324.1,False,101.91,358.26,-2.93,2468.88,1656443523.0,UAL,United Airlines,U,AIRBUS INDUSTRIE,A319-131,L2J,A319,179.0,"(39.7058, -104.6437)",Aurora,Colorado,Adams County,US
4,e8027b,LAN630,Chile,-55.2845,-11.6066,11574.78,False,244.87,334.89,0.0,12275.82,1656443523.0,LAN,LATAM Airlines,P,BOEING,787 8,L2J,787-8,312.0,"(-11.6066, -55.2845)",Sinop,Mato Grosso,Sinop,BR
5,aa56db,UAL1455,United States,-96.6965,41.7222,11590.02,False,217.75,255.08,0.0,12031.98,1656443523.0,UAL,United Airlines,U,BOEING,737-824,L2J,737-8,149.0,"(41.7222, -96.6965)",West Point,Nebraska,Cuming County,US
6,a2e5ec,SKW3655,United States,-121.8708,47.237,4358.64,False,171.3,288.38,1.3,4533.9,1656443523.0,SKW,SkyWest Airlines,P,EMBRAER S A,ERJ 170-200 LL,,ERJ-170,88.0,"(47.237, -121.8708)",Enumclaw,Washington,King County,US
7,4b1813,SWR69KC,Switzerland,8.8341,47.3213,2133.6,False,9.77,118.12,,2270.76,1656443523.0,SWR,Swiss,P,AIRBUS,A320-271N,L2J,A320,164.0,"(47.3213, 8.8341)",Wetzikon / Kempten,Zurich,Bezirk Hinwil,CH
8,abd9d9,SWA1726,United States,-111.6335,33.76,3863.34,False,165.68,237.3,-3.25,4114.8,1656443523.0,SWA,Southwest Airlines,B,BOEING,737-8H4,L2J,737-8,154.0,"(33.76, -111.6335)",Rio Verde,Arizona,Maricopa County,US
9,a3b87f,DAL2496,United States,-81.5648,38.5034,10355.58,False,217.58,203.11,-0.65,10812.78,1656443523.0,DAL,Delta Air Lines,P,AIRBUS INDUSTRIE,A320-212,L2J,A320,182.0,"(38.5034, -81.5648)",Sissonville,West Virginia,Kanawha County,US
10,a305fd,SKW3601,United States,-92.9704,44.5929,2232.66,False,111.64,61.66,-3.25,2324.1,1656443523.0,SKW,SkyWest Airlines,P,EMBRAER S A,ERJ 170-200 LR,,ERJ-170,88.0,"(44.5929, -92.9704)",Cannon Falls,Minnesota,Goodhue County,US
11,4b1803,EDW267J,Switzerland,2.1282,38.9355,4488.18,False,200.91,71.8,8.45,4785.36,1656443523.0,EDW,Edelweiss Air,C,,BD-500-1A11 (CS300),,A220-3,144.0,"(38.9355, 2.1282)",Santa Eularia des Riu,Balearic Islands,Illes Balears,ES
12,4b1805,SWR646,Switzerland,8.5595,47.4525,,True,0.0,275.62,,,1656443523.0,SWR,Swiss,P,,BD-500-1A11 (CS300),,A220-3,144.0,"(47.4525, 8.5595)",Glattbrugg / Rohr/Platten-Balsberg,Zurich,Bezirk Buelach,CH
13,4b1806,SWR239F,Switzerland,0.8571,43.4215,12192.0,False,232.95,53.71,0.0,12694.92,1656443523.0,SWR,Swiss,P,BOMBARDIER,BD-500-1A11 (CS300),L2J,A220-3,144.0,"(43.4215, 0.8571)",Lombez,Midi-Pyrenees,Departement du Gers,FR
14,aa56d4,UAL1079,United States,-74.1679,40.698,,True,1.54,199.69,,,1656443523.0,UAL,United Airlines,U,BOEING,737-824,L2J,737-8,149.0,"(40.698, -74.1679)",Newark,New Jersey,Essex County,US
15,a90ea8,DAL1415,United States,-82.65,29.1114,7840.98,False,182.57,4.04,5.53,8077.2,1656443523.0,DAL,Delta Air Lines,P,BOEING,757-232,L2J,757-2,178.0,"(29.1114, -82.65)",Inglis,Florida,Levy County,US
16,4b1808,SWR37G,Switzerland,1.3161,49.5284,11269.98,False,234.44,140.97,5.53,11643.36,1656443523.0,SWR,Swiss,P,,BD-500-1A11 (CS300),,A220-3,144.0,"(49.5284, 1.3161)",Blainville-Crevon,Haute-Normandie,Departement de la Seine-Maritime,FR
17,aa56d5,UAL1820,United States,-77.46,38.9281,259.08,False,76.67,1.15,-4.88,312.42,1656443523.0,UAL,United Airlines,U,BOEING,737-824,L2J,737-8,149.0,"(38.9281, -77.46)",South Riding,Virginia,Loudoun County,US
18,4b1801,SWR121G,Switzerland,8.5632,47.4599,,True,4.12,5.62,,,1656443523.0,SWR,Swiss,P,,BD-500-1A11 (CS300),,A220-3,144.0,"(47.4599, 8.5632)",Kloten / Holberg,Zurich,Bezirk Buelach,CH
19,51111d,TOM9FE,Estonia,-6.2614,53.4229,,True,108.63,337.44,0.33,,1656443523.0,TOM,TUI Airways,C,AIRBUS,Airbus A320-232,L2J,A320,164.0,"(53.4229, -6.2614)",Ballymun,Leinster,,IE
20,ac4963,DAL2569,United States,-116.8508,34.8712,8839.2,False,205.25,57.9,0.0,9395.46,1656443523.0,DAL,Delta Air Lines,P,BOEING,737-900ER,L2J,737-9,222.0,"(34.8712, -116.8508)",Barstow,California,San Bernardino County,US
