,icao24,callsign,origin_country,long,lat,baro_altitude,on_ground,velocity,true_track,vertical_rate,geo_altitude,time,callsign_carrier,carrier_company,carrier_type,manufacturericao,model,icaoaircrafttype,model_no_stripped,avg_no_seats,coord,city_name,reg_admin1,reg_admin2,country_cc
0,e49406,GLO1620,Brazil,-45.5163,-22.2933,9982.2,False,243.88,42.95,0.0,10622.28,1656442799.0,GLO,Gol Linhas Aéreas,B,,,,,198.00000000000003,"(-22.2933, -45.5163)",Itajuba,Minas Gerais,Itajuba,BR
1,4b1815,SWR983,Switzerland,9.176,48.5318,6842.76,False,179.41,212.23,-10.08,7216.14,1656442799.0,SWR,Swiss,P,AIRBUS,A320-271N,L2J,A320,164.0,"(48.5318, 9.176)",Sickenhausen,Baden-Wuerttemberg,Tuebingen Region,DE
2,4b1816,SWR341Z,Switzerland,24.2912,38.5628,11582.4,False,225.1,324.68,0.0,12153.9,1656442799.0,SWR,Swiss,P,,,,,180.0,"(38.5628, 24.2912)",Oxilithos,Central Greece,Nomos Evvoias,GR
3,ab1644,UAL2141,United States,-103.9468,39.4173,4838.7,False,169.52,304.37,-4.88,5158.74,1656442799.0,UAL,United Airlines,U,AIRBUS INDUSTRIE,A319-131,L2J,A319,179.0,"(39.4173, -103.9468)",Limon,Colorado,Lincoln County,US
4,aa56db,UAL1455,United States,-94.8864,42.0699,11582.4,False,213.48,256.2,0.0,11986.26,1656442799.0,UAL,United Airlines,U,BOEING,737-824,L2J,737-8,149.0,"(42.0699, -94.8864)",Carroll,Iowa,Carroll County,US
5,a2e5ec,SKW3655,United States,-120.5371,46.6157,6705.6,False,180.87,313.27,-0.33,6896.1,1656442799.0,SKW,SkyWest Airlines,P,EMBRAER S A,ERJ 170-200 LL,,ERJ-170,88.0,"(46.6157, -120.5371)",Yakima,Washington,Yakima County,US
6,4b1813,SWR69KC,Switzerland,8.3804,47.2492,3185.16,False,152.45,79.11,-4.88,3368.04,1656442799.0,SWR,Swiss,P,AIRBUS,A320-271N,L2J,A320,164.0,"(47.2492, 8.3804)",Merenschwand,Aargau,Bezirk Muri,CH
7,abd9d9,SWA1726,United States,-111.2609,33.9927,5646.42,False,232.13,229.67,0.0,6286.5,1656442799.0,SWA,Southwest Airlines,B,BOEING,737-8H4,L2J,737-8,154.0,"(33.9927, -111.2609)",Tonto Basin,Arizona,Gila County,US
8,a3b87f,DAL2496,United States,-80.677,39.6432,10363.2,False,204.75,213.73,0.0,10767.06,1656442799.0,DAL,Delta Air Lines,P,AIRBUS INDUSTRIE,A320-212,L2J,A320,182.0,"(39.6432, -80.677)",New Martinsville,West Virginia,Wetzel County,US
9,a305fd,SKW3601,United States,-93.5211,43.6295,6339.84,False,188.66,3.6,-9.1,6598.92,1656442799.0,SKW,SkyWest Airlines,P,EMBRAER S A,ERJ 170-200 LR,,ERJ-170,88.0,"(43.6295, -93.5211)",Albert Lea,Minnesota,Freeborn County,US
10,880456,AIQ154,Thailand,82.8812,12.6663,10058.4,False,221.52,94.93,0.0,10721.34,1656442799.0,AIQ,Thai AirAsia,B,AIRBUS,A320 216,L2J,A320,180.4,"(12.6663, 82.8812)",Kattivakkam,Tamil Nadu,Thiruvallur,IN
11,4b1805,SWR646,Switzerland,8.5594,47.4517,,True,0.0,185.62,,,1656442799.0,SWR,Swiss,P,,BD-500-1A11 (CS300),,A220-3,144.0,"(47.4517, 8.5594)",Glattbrugg / Rohr/Platten-Balsberg,Zurich,Bezirk Buelach,CH
