,icao24,callsign,origin_country,long,lat,baro_altitude,on_ground,velocity,true_track,vertical_rate,geo_altitude,time,callsign_carrier,carrier_company,carrier_type,manufacturericao,model,icaoaircrafttype,model_no_stripped,avg_no_seats,coord,city_name,reg_admin1,reg_admin2,country_cc
1608,80073a,AIC130,India,5.2135,50.7156,11277.6,False,254.66,98.95,-0.33,11666.22,1656442561,AIC,Air India,P,BOEING,787 8,L2J,787-8,312.0,"(50.7156, 5.2135)",Berloz,Wallonia,Province de Liege,BE
1609,4ca8e5,RYR7099,Ireland,-1.8338,50.7815,-7.62,False,75.12,254.92,-0.33,68.58,1656442561,RYR,Ryanair,B,BOEING,BOEING 737-8AS,L2J,737-8,193.60000000000002,"(50.7815, -1.8338)",St Leonards,England,Dorset,GB
1610,89639a,UAE5RQ,United Arab Emirates,50.77,26.8544,11887.2,False,237.74,105.18,0.0,12694.92,1656442561,UAE,Emirates,U,AIRBUS,A380 861,L4J,A380-8,492.0,"(26.8544, 50.77)",Al Muharraq,Muharraq,,BH
1611,a2b1ab,ASA1380,United States,-119.8063,38.9869,10668.0,False,224.38,167.02,0.0,11239.5,1656442561,ASA,Alaska Airlines,P,BOEING,737-900ER,L2J,737-9,222.0,"(38.9869, -119.8063)",Minden,Nevada,Douglas County,US
1612,a8856d,UAL1125,United States,-101.4049,32.458,10668.0,False,247.55,142.94,0.0,11292.84,1656442561,UAL,United Airlines,U,BOEING,737-924ER,L2J,737-9,191.0,"(32.458, -101.4049)",Big Spring,Texas,Howard County,US
1613,0200af,RAM803,Morocco,-7.5935,33.3716,,True,24.69,345.94,,,1656442561,RAM,Royal Air Maroc,P,BOEING,737NG 8B6/W,L2J,737-8,176.0,"(33.3716, -7.5935)",Nouaseur,Chaouia-Ouardigha,,MA
1614,0200ae,RAM733M,Morocco,0.173,40.0116,11277.6,False,215.45,228.78,0.0,11841.48,1656442561,RAM,Royal Air Maroc,P,BOEING,737NG 8B6/W,L2J,737-8,176.0,"(40.0116, 0.173)",Orpesa/Oropesa del Mar,Valencia,Provincia de Castello,ES
1615,780a28,CPA3684,China,132.3584,31.8017,9448.8,False,256.53,60.97,0.0,10066.02,1656442561,CPA,Cathay Pacific,U+,BOEING,Boeing 747-867F,L4J,747-8,259.0,"(31.8017, 132.3584)",Takanabe,Miyazaki,,JP
1616,8a07e7,GIA6136,Indonesia,77.5899,10.5657,11582.4,False,264.62,300.1,-0.33,12214.86,1656442561,GIA,Garuda Indonesia,P,,,,,180.0,"(10.5657, 77.5899)",Kiranur,Tamil Nadu,Dindigul,IN
1617,a417fe,FFT1096,United States,-73.8052,39.7364,5341.62,False,202.48,50.57,-7.48,5570.22,1656442561,FFT,Frontier Airlines,B,AIRBUS,A320-251N,,A320,209.00000000000003,"(39.7364, -73.8052)",Seaside Park,New Jersey,Ocean County,US
1618,780a1c,CPA2081,China,-117.7608,33.9995,2682.24,False,159.53,263.33,-7.8,2849.88,1656442561,CPA,Cathay Pacific,U+,BOEING,Boeing 747-867F,L4J,747-8,259.0,"(33.9995, -117.7608)",Chino Hills,California,San Bernardino County,US
1619,780a1d,CPA2086,China,136.7475,34.063,9448.8,False,259.82,56.47,0.0,10111.74,1656442561,CPA,Cathay Pacific,U+,BOEING,Boeing 747-867F,L4J,747-8,259.0,"(34.063, 136.7475)",Ise,Mie,,JP
1620,4ca8f8,ITY248,Ireland,2.2067,50.0836,11582.4,False,227.07,311.42,0.0,11948.16,1656442561,ITY,ITA Airways,P+,AIRBUS,A319-112,L2J,A319,133.0,"(50.0836, 2.2067)",Berteaucourt-les-Dames,Picardie,Departement de la Somme,FR
1621,781112,CXA868,China,52.878,60.7989,11887.2,False,244.0,92.05,-0.33,12001.5,1656442561,CXA,Xiamen Airlines,P,BOEING,Boeing 787-9,L2J,787-9,341.0,"(60.7989, 52.878)",Mordino,Komi Republic,,RU
1622,4ca8f5,ITY355,Ireland,12.2444,41.8869,259.08,False,67.7,163.22,-3.25,327.66,1656442561,ITY,ITA Airways,P+,AIRBUS,A319-112,L2J,A319,133.0,"(41.8869, 12.2444)",Maccarese,Latium,Citta metropolitana di Roma Capitale,IT
1623,4ca8f6,ITY356,Ireland,9.2806,45.4378,,True,9.77,174.38,,,1656442561,ITY,ITA Airways,P+,AIRBUS,A319-112,L2J,A319,133.0,"(45.4378, 9.2806)",Linate,Lombardy,Citta metropolitana di Milano,IT
1624,78110e,CXA806,China,132.7085,35.0411,10363.2,False,250.14,239.74,0.33,11087.1,1656442561,CXA,Xiamen Airlines,P,BOEING,787 9,L2J,787-9,341.0,"(35.0411, 132.7085)",Odacho-oda,Shimane,,JP
1625,4bab2a,THY7HJ,Turkey,28.7575,41.2224,320.04,False,69.97,359.16,-3.58,411.48,1656442561,THY,Turkish Airlines,U,BOEING,737NG 9F2ER/W,L2J,737-9,183.0,"(41.2224, 28.7575)",Durusu,Istanbul,,TR
1626,a31a50,UAL26,United States,-100.7351,45.4298,12184.38,False,255.66,205.38,0.0,12595.86,1656442561,UAL,United Airlines,U,BOEING,787-9,,787-9,422.0,"(45.4298, -100.7351)",Mobridge,South Dakota,Walworth County,US
1627,ab9bb6,ASA928,United States,-112.3662,35.0698,8435.34,False,240.88,169.91,-7.15,8999.22,1656442561,ASA,Alaska Airlines,P,AIRBUS,A320-214,L2J,A320,182.0,"(35.0698, -112.3662)",Paulden,Arizona,Yavapai County,US
1628,4ca8dc,ITY1794,Ireland,11.8151,41.1048,7338.06,False,205.57,356.84,-11.38,7825.74,1656442561,ITY,ITA Airways,P+,AIRBUS,A320-214,L2J,A320,164.0,"(41.1048, 11.8151)",Lido di Ostia,Latium,Citta metropolitana di Roma Capitale,IT
1629,a822d6,QXE2591,United States,-150.1147,61.2938,1524.0,False,124.0,11.73,10.4,1600.2,1656442561,QXE,Horizon Air,P,EMBRAER S A,ERJ 170-200 LR,L2J,ERJ-170,88.0,"(61.2938, -150.1147)",Anchorage,Alaska,Anchorage Municipality,US
1630,4ca8da,RYR33NE,Ireland,-3.6118,46.2063,11277.6,False,210.98,188.13,0.0,11658.6,1656442561,RYR,Ryanair,B,BOEING,BOEING 737-8AS,L2J,737-8,193.60000000000002,"(46.2063, -3.6118)",Le Palais,Brittany,Departement du Morbihan,FR
1631,70c0ac,OMA407,Oman,55.4505,24.2928,11361.42,False,268.7,286.8,4.23,12146.28,1656442561,OMA,Oman Air,P+,AIRBUS,A330 243,L2J,A330-2,309.0,"(24.2928, 55.4505)",Al Ain,Abu Dhabi,,AE
1632,a31a2d,UAL952,United States,-87.8214,41.9883,426.72,False,81.8,269.64,-4.55,480.06,1656442561,UAL,United Airlines,U,BOEING,787-9,L2J,787-9,422.0,"(41.9883, -87.8214)",Harwood Heights,Illinois,Cook County,US
1633,70c0c2,OMA411,Oman,55.1517,24.4325,10728.96,False,260.7,303.0,3.9,11445.24,1656442561,OMA,Oman Air,P+,BOEING,737NG 81M/W,L2J,737-8,176.0,"(24.4325, 55.1517)",Dubai,Dubai,,AE
