,icao24,callsign,origin_country,long,lat,baro_altitude,on_ground,velocity,true_track,vertical_rate,geo_altitude,time,callsign_carrier,carrier_company,carrier_type,manufacturericao,model,icaoaircrafttype,model_no_stripped,avg_no_seats,coord,city_name,reg_admin1,reg_admin2,country_cc
0,e49406,GLO1620,Brazil,-45.5163,-22.2933,9982.2,False,243.88,42.95,0.0,10622.28,1656443035.0,GLO,Gol Linhas Aéreas,B,,,,,198.00000000000003,"(-22.2933, -45.5163)",Itajuba,Minas Gerais,Itajuba,BR
1,4b1815,SWR983,Switzerland,8.9108,48.1856,5349.24,False,164.04,207.05,-6.83,5654.04,1656443035.0,SWR,Swiss,P,AIRBUS,A320-271N,L2J,A320,164.0,"(48.1856, 8.9108)",Messstetten,Baden-Wuerttemberg,Tuebingen Region,DE
2,4b1816,SWR341Z,Switzerland,23.9368,38.9532,11582.4,False,224.56,324.42,0.0,12146.28,1656443035.0,SWR,Swiss,P,,,,,180.0,"(38.9532, 23.9368)",Patitirion,Thessaly,Nomos Magnisias,GR
3,ab1644,UAL2141,United States,-104.3561,39.476,3078.48,False,159.68,297.23,-9.43,3299.46,1656443035.0,UAL,United Airlines,U,AIRBUS INDUSTRIE,A319-131,L2J,A319,179.0,"(39.476, -104.3561)",Kiowa,Colorado,Elbert County,US
4,aa56db,UAL1455,United States,-95.4782,41.9593,11582.4,False,215.48,255.76,0.0,11993.88,1656443035.0,UAL,United Airlines,U,BOEING,737-824,L2J,737-8,149.0,"(41.9593, -95.4782)",Denison,Iowa,Crawford County,US
5,a2e5ec,SKW3655,United States,-120.8425,46.9512,6705.6,False,178.3,288.33,9.1,6903.72,1656443035.0,SKW,SkyWest Airlines,P,EMBRAER S A,ERJ 170-200 LL,,ERJ-170,88.0,"(46.9512, -120.8425)",Cle Elum,Washington,Kittitas County,US
6,4b1813,SWR69KC,Switzerland,8.8394,47.3233,2133.6,False,151.87,60.13,0.33,2270.76,1656443035.0,SWR,Swiss,P,AIRBUS,A320-271N,L2J,A320,164.0,"(47.3233, 8.8394)",Baretswil,Zurich,Bezirk Hinwil,CH
7,abd9d9,SWA1726,United States,-111.3914,33.8909,4937.76,False,177.47,228.41,-2.93,5265.42,1656443035.0,SWA,Southwest Airlines,B,BOEING,737-8H4,L2J,737-8,154.0,"(33.8909, -111.3914)",Tonto Basin,Arizona,Gila County,US
8,a3b87f,DAL2496,United States,-80.9908,39.2777,10363.2,False,207.03,213.65,0.0,10789.92,1656443035.0,DAL,Delta Air Lines,P,AIRBUS INDUSTRIE,A320-212,L2J,A320,182.0,"(39.2777, -80.9908)",Pennsboro,West Virginia,Ritchie County,US
9,a305fd,SKW3601,United States,-93.5211,43.6295,6339.84,False,188.66,3.6,-9.1,6598.92,1656443035.0,SKW,SkyWest Airlines,P,EMBRAER S A,ERJ 170-200 LR,,ERJ-170,88.0,"(43.6295, -93.5211)",Albert Lea,Minnesota,Freeborn County,US
