,icao24,callsign,origin_country,long,lat,baro_altitude,on_ground,velocity,true_track,vertical_rate,geo_altitude,time,callsign_carrier,carrier_company,carrier_type,manufacturericao,model,icaoaircrafttype,model_no_stripped,avg_no_seats,coord,city_name,reg_admin1,reg_admin2,country_cc
0,e49406,GLO1620,Brazil,-45.5163,-22.2933,9982.2,False,243.5,43.03,0.0,10622.28,1656443279.0,GLO,Gol Linhas Aéreas,B,,,,,198.00000000000003,"(-22.2933, -45.5163)",Itajuba,Minas Gerais,Itajuba,BR
1,4b1815,SWR983,Switzerland,8.6303,47.8135,3741.42,False,171.86,206.87,-5.85,3985.26,1656443279.0,SWR,Swiss,P,AIRBUS,A320-271N,L2J,A320,164.0,"(47.8135, 8.6303)",Tengen,Baden-Wuerttemberg,Freiburg Region,DE
2,4b1816,SWR341Z,Switzerland,23.5695,39.3522,11582.4,False,224.86,324.31,0.0,12138.66,1656443279.0,SWR,Swiss,P,,,,,180.0,"(39.3522, 23.5695)",Skiathos,Thessaly,Nomos Magnisias,GR
3,ab1644,UAL2141,United States,-104.643,39.6774,2346.96,False,144.94,296.57,-4.88,2606.04,1656443279.0,UAL,United Airlines,U,AIRBUS INDUSTRIE,A319-131,L2J,A319,179.0,"(39.6774, -104.643)",Aurora,Colorado,Adams County,US
4,aa56db,UAL1455,United States,-96.0887,41.8423,11590.02,False,215.24,255.47,0.0,12016.74,1656443279.0,UAL,United Airlines,U,BOEING,737-824,L2J,737-8,149.0,"(41.8423, -96.0887)",Tekamah,Nebraska,Burt County,US
5,a2e5ec,SKW3655,United States,-121.4009,47.0545,6454.14,False,180.42,284.19,-9.43,6606.54,1656443279.0,SKW,SkyWest Airlines,P,EMBRAER S A,ERJ 170-200 LL,,ERJ-170,88.0,"(47.0545, -121.4009)",Cle Elum,Washington,Kittitas County,US
6,4b1813,SWR69KC,Switzerland,8.6798,47.4487,891.54,False,81.3,276.54,-4.88,982.98,1656443279.0,SWR,Swiss,P,AIRBUS,A320-271N,L2J,A320,164.0,"(47.4487, 8.6798)",Tagelswangen,Zurich,Bezirk Pfaeffikon,CH
7,abd9d9,SWA1726,United States,-111.5174,33.8211,4381.5,False,169.54,237.52,-7.8,4671.06,1656443279.0,SWA,Southwest Airlines,B,BOEING,737-8H4,L2J,737-8,154.0,"(33.8211, -111.5174)",Rio Verde,Arizona,Maricopa County,US
8,a3b87f,DAL2496,United States,-81.3147,38.8955,10363.2,False,211.74,213.3,0.33,10805.16,1656443279.0,DAL,Delta Air Lines,P,AIRBUS INDUSTRIE,A320-212,L2J,A320,182.0,"(38.8955, -81.3147)",Spencer,West Virginia,Roane County,US
9,a305fd,SKW3601,United States,-93.2978,44.4657,2895.6,False,142.87,29.8,-6.18,3017.52,1656443279.0,SKW,SkyWest Airlines,P,EMBRAER S A,ERJ 170-200 LR,,ERJ-170,88.0,"(44.4657, -93.2978)",Dundas,Minnesota,Rice County,US
10,4b1803,EDW267J,Switzerland,1.6532,38.8971,2301.24,False,151.85,103.52,12.03,2484.12,1656443279.0,EDW,Edelweiss Air,C,,BD-500-1A11 (CS300),,A220-3,144.0,"(38.8971, 1.6532)",Santa Eularia des Riu,Balearic Islands,Illes Balears,ES
11,4b1805,SWR646,Switzerland,8.5594,47.4517,,True,0.0,185.62,,,1656443279.0,SWR,Swiss,P,,BD-500-1A11 (CS300),,A220-3,144.0,"(47.4517, 8.5594)",Glattbrugg / Rohr/Platten-Balsberg,Zurich,Bezirk Buelach,CH
12,4b1806,SWR239F,Switzerland,0.7239,43.3501,12192.0,False,233.26,53.61,0.0,12694.92,1656443279.0,SWR,Swiss,P,BOMBARDIER,BD-500-1A11 (CS300),L2J,A220-3,144.0,"(43.3501, 0.7239)",Boulogne-sur-Gesse,Midi-Pyrenees,Departement de la Haute-Garonne,FR
13,aa56d4,UAL1079,United States,-74.1755,40.6891,,True,2.06,25.31,,,1656443279.0,UAL,United Airlines,U,BOEING,737-824,L2J,737-8,149.0,"(40.6891, -74.1755)",Elizabeth,New Jersey,Union County,US
14,a90ea8,DAL1415,United States,-82.5936,28.6142,6103.62,False,220.45,4.82,2.6,6446.52,1656443279.0,DAL,Delta Air Lines,P,BOEING,757-232,L2J,757-2,178.0,"(28.6142, -82.5936)",North Weeki Wachee,Florida,Hernando County,US
15,4b1808,SWR37G,Switzerland,0.8705,49.8828,10309.86,False,234.3,140.61,6.18,10660.38,1656443279.0,SWR,Swiss,P,,BD-500-1A11 (CS300),,A220-3,144.0,"(49.8828, 0.8705)",Luneray,Haute-Normandie,Departement de la Seine-Maritime,FR
16,aa56d5,UAL1820,United States,-77.4606,38.8817,350.52,False,75.63,0.78,-4.23,411.48,1656443279.0,UAL,United Airlines,U,BOEING,737-824,L2J,737-8,149.0,"(38.8817, -77.4606)",Chantilly,Virginia,Fairfax County,US
17,4b1801,SWR121G,Switzerland,8.5585,47.4564,,True,4.12,95.62,,,1656443279.0,SWR,Swiss,P,,BD-500-1A11 (CS300),,A220-3,144.0,"(47.4564, 8.5585)",Kloten / Holberg,Zurich,Bezirk Buelach,CH
18,a678ef,NKS277,United States,-67.1129,19.45,10363.2,False,232.13,309.33,0.0,10988.04,1656443279.0,NKS,Spirit Airlines,B,AIRBUS,A319-132,L2J,A319,196.9,"(19.45, -67.1129)",Isabela,Isabela,,PR
19,51111d,TOM9FE,Estonia,-6.2322,53.4192,213.36,False,109.17,342.16,0.0,220.98,1656443279.0,TOM,TUI Airways,C,AIRBUS,Airbus A320-232,L2J,A320,164.0,"(53.4192, -6.2322)",Beaumont,Leinster,,IE
20,ac4963,DAL2569,United States,-117.2574,34.6719,8839.2,False,219.31,55.9,7.48,9258.3,1656443279.0,DAL,Delta Air Lines,P,BOEING,737-900ER,L2J,737-9,222.0,"(34.6719, -117.2574)",Victorville,California,San Bernardino County,US
21,a3b88e,AAL1457,United States,-79.1775,26.7398,8945.88,False,235.83,27.12,6.83,9471.66,1656443279.0,AAL,American Airlines,P,BOEING,737-800,L2J,737-8,189.0,"(26.7398, -79.1775)",West End,West Grand Bahama,,BS
22,aae316,AAL1539,United States,-89.0239,41.7683,6964.68,False,201.13,259.98,9.43,7216.14,1656443279.0,AAL,American Airlines,P,BOEING,737-823,L2J,737-8,162.0,"(41.7683, -89.0239)",Rochelle,Illinois,Ogle County,US
23,7c6b39,JST673,Australia,151.0786,-26.2016,11285.22,False,263.19,110.24,0.0,11826.24,1656443279.0,JST,Jetstar Airways,B,AIRBUS,A320-232,L2J,A320,180.4,"(-26.2016, 151.0786)",Chinchilla,Queensland,Western Downs,AU
24,4952cb,,Portugal,-6.1034,43.1514,11887.2,False,214.48,211.36,-0.33,12367.26,1656443279.0,,FlyMontserrat,P,,,,,180.0,"(43.1514, -6.1034)",La Plaza,Asturias,Province of Asturias,ES
25,4952cb,,Portugal,-6.1034,43.1514,11887.2,False,214.48,211.36,-0.33,12367.26,1656443279.0,,Lulutai Airlines,P,,,,,180.0,"(43.1514, -6.1034)",La Plaza,Asturias,Province of Asturias,ES
26,a36898,DAL793,United States,-102.6021,38.6801,10668.0,False,240.16,111.62,0.0,11216.64,1656443279.0,DAL,Delta Air Lines,P,AIRBUS,A321-211,L2J,A321-2,199.0,"(38.6801, -102.6021)",Eads,Colorado,Kiowa County,US
27,acdfa3,ASA561,United States,-98.8858,30.9517,8122.92,False,223.18,115.97,-13.0,8633.46,1656443279.0,ASA,Alaska Airlines,P,BOEING,737-9,,737-9,48.0,"(30.9517, -98.8858)",Llano,Texas,Llano County,US
28,ace6b3,ASH5864,United States,-102.6008,31.9595,10668.0,False,251.3,81.41,-0.98,11292.84,1656443279.0,ASH,Mesa Airlines,P,BOMBARDIER INC,CL-600-2D24,L2J,CRJ900,95.0,"(31.9595, -102.6008)",West Odessa,Texas,Ector County,US
29,7c6b19,JST251,Australia,174.7939,-41.4791,777.24,False,96.29,21.63,1.63,754.38,1656443279.0,JST,Jetstar Airways,B,AIRBUS,A320 232SL,L2J,A320,180.4,"(-41.4791, 174.7939)",Brooklyn,Wellington,Wellington City,NZ
30,7c6b0f,JST253,Australia,174.8042,-37.007,160.02,False,76.48,70.35,14.31,137.16,1656443279.0,JST,Jetstar Airways,B,AIRBUS,A320 232SL,L2J,A320,180.4,"(-37.007, 174.8042)",Mangere,Auckland,Auckland,NZ
31,a46e40,DAL738,United States,-105.5424,40.3865,10355.58,False,230.3,260.87,0.33,10904.22,1656443279.0,DAL,Delta Air Lines,P,AIRBUS,A321-211,,,199.0,"(40.3865, -105.5424)",Estes Park,Colorado,Larimer County,US
32,a57b4d,UAL547T,United States,-118.8773,34.3537,1943.1,False,146.46,125.42,-7.48,2087.88,1656443279.0,UAL,United Airlines,U,AIRBUS INDUSTRIE,A320-232,L2J,A320,200.0,"(34.3537, -118.8773)",Fillmore,California,Ventura County,US
33,511158,TOM3BG,Estonia,22.9233,40.5185,11269.98,False,249.71,142.87,0.33,11795.76,1656443279.0,TOM,TUI Airways,C,,,,,180.0,"(40.5185, 22.9233)",Peraia,Central Macedonia,Nomos Thessalonikis,GR
34,4952c1,TAP566,Portugal,-0.7514,47.3515,11582.4,False,252.22,37.87,0.0,11955.78,1656443279.0,TAP,TAP Air Portugal,P,AIRBUS,A320 251N,L2J,A320,164.0,"(47.3515, -0.7514)",Chalonnes-sur-Loire,Pays de la Loire,Departement de Maine-et-Loire,FR
35,4952c2,TAP1025,Portugal,-4.7086,39.8827,9448.8,False,194.03,255.41,0.0,9951.72,1656443279.0,TAP,TAP Air Portugal,P,AIRBUS,A320 251N,L2J,A320,164.0,"(39.8827, -4.7086)",La Pueblanueva,Castille-La Mancha,Province of Toledo,ES
