,icao24,callsign,origin_country,long,lat,baro_altitude,on_ground,velocity,true_track,vertical_rate,geo_altitude,time,callsign_carrier,carrier_company,carrier_type,manufacturericao,model,icaoaircrafttype,model_no_stripped,avg_no_seats,coord,city_name,reg_admin1,reg_admin2,country_cc
0,e49406,GLO1620,Brazil,-45.5163,-22.2933,9982.2,False,243.88,42.95,0.0,10622.28,1656443156.0,GLO,Gol Linhas Aéreas,B,,,,,198.00000000000003,"(-22.2933, -45.5163)",Itajuba,Minas Gerais,Itajuba,BR
1,4b1815,SWR983,Switzerland,8.7702,48.0002,5356.86,False,166.34,207.04,-6.83,5646.42,1656443156.0,SWR,Swiss,P,AIRBUS,A320-271N,L2J,A320,164.0,"(48.0002, 8.7702)",Wurmlingen,Baden-Wuerttemberg,Freiburg Region,DE
2,4b1816,SWR341Z,Switzerland,23.7559,39.1504,11582.4,False,223.84,324.45,0.0,12146.28,1656443156.0,SWR,Swiss,P,,,,,180.0,"(39.1504, 23.7559)",Skopelos,Thessaly,Nomos Magnisias,GR
3,ab1644,UAL2141,United States,-104.5442,39.5516,2453.64,False,146.83,300.07,-8.45,2621.28,1656443156.0,UAL,United Airlines,U,AIRBUS INDUSTRIE,A319-131,L2J,A319,179.0,"(39.5516, -104.5442)",Ponderosa Park,Colorado,Elbert County,US
4,aa56db,UAL1455,United States,-95.7803,41.9019,11590.02,False,215.11,255.6,0.0,12009.12,1656443156.0,UAL,United Airlines,U,BOEING,737-824,L2J,737-8,149.0,"(41.9019, -95.7803)",Woodbine,Iowa,Harrison County,US
5,a2e5ec,SKW3655,United States,-121.1151,47.0044,6705.6,False,180.31,284.71,0.33,6873.24,1656443156.0,SKW,SkyWest Airlines,P,EMBRAER S A,ERJ 170-200 LL,,ERJ-170,88.0,"(47.0044, -121.1151)",Cle Elum,Washington,Kittitas County,US
6,4b1813,SWR69KC,Switzerland,8.5094,47.2656,1661.16,False,123.1,277.93,-9.1,1783.08,1656443156.0,SWR,Swiss,P,AIRBUS,A320-271N,L2J,A320,164.0,"(47.2656, 8.5094)",Muehlehalde,Zurich,Bezirk Horgen,CH
7,abd9d9,SWA1726,United States,-108.6442,35.5684,11582.4,False,231.01,229.61,0.0,12222.48,1656443156.0,SWA,Southwest Airlines,B,BOEING,737-8H4,L2J,737-8,154.0,"(35.5684, -108.6442)",Church Rock,New Mexico,McKinley County,US
8,a3b87f,DAL2496,United States,-81.1481,39.0927,10363.2,False,209.31,213.57,0.0,10797.54,1656443156.0,DAL,Delta Air Lines,P,AIRBUS INDUSTRIE,A320-212,L2J,A320,182.0,"(39.0927, -81.1481)",Harrisville,West Virginia,Ritchie County,US
9,880456,AIQ154,Thailand,83.3351,12.6266,10058.4,False,223.66,95.15,0.33,10721.34,1656443156.0,AIQ,Thai AirAsia,B,AIRBUS,A320 216,L2J,A320,180.4,"(12.6266, 83.3351)",Kattivakkam,Tamil Nadu,Thiruvallur,IN
10,4b1803,EDW267J,Switzerland,1.4633,38.8933,914.4,False,104.43,76.03,9.1,1028.7,1656443156.0,EDW,Edelweiss Air,C,,BD-500-1A11 (CS300),,A220-3,144.0,"(38.8933, 1.4633)",Ibiza,Balearic Islands,Illes Balears,ES
11,4b1805,SWR646,Switzerland,8.5594,47.4517,,True,0.0,185.62,,,1656443156.0,SWR,Swiss,P,,BD-500-1A11 (CS300),,A220-3,144.0,"(47.4517, 8.5594)",Glattbrugg / Rohr/Platten-Balsberg,Zurich,Bezirk Buelach,CH
12,4b1806,SWR239F,Switzerland,0.6576,43.3144,12192.0,False,232.84,53.54,0.0,12694.92,1656443156.0,SWR,Swiss,P,BOMBARDIER,BD-500-1A11 (CS300),L2J,A220-3,144.0,"(43.3144, 0.6576)",Boulogne-sur-Gesse,Midi-Pyrenees,Departement de la Haute-Garonne,FR
13,aa56d4,UAL1079,United States,-74.1732,40.6897,,True,2.83,191.25,,,1656443156.0,UAL,United Airlines,U,BOEING,737-824,L2J,737-8,149.0,"(40.6897, -74.1732)",Elizabeth,New Jersey,Union County,US
